Row,"BlueMor  Joined 2014-01-13 07:03:07+00:00 | 17 public repos | 4 non-forked repos | 780 forks (45.8823529412 per repo) | 1811 stars (106.529411765 per repo | 192 followers | 15 following",1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,CommitComment,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Create,0,0,0,0,0,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Delete,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fork,0,0,0,0,0,2,3,6,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gist,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Gollum,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IssueComment,0,0,0,0,0,0,0,0,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Issues,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Member,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Public,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PullRequest,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PullRequestReviewComment,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Push,0,0,0,0,0,0,0,5,21,10,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Release,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Watch,0,0,0,0,0,0,1,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,QualityPROpened,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,QualityPRClosed,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"lixuancn  Joined 2014-01-10 12:31:50+00:00 | 11 public repos | 8 non-forked repos | 620 forks (56.3636363636 per repo) | 1265 stars (115.0 per repo | 83 followers | 2 following",1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,CommitComment,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Create,1,0,0,0,0,0,0,4,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Delete,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fork,0,0,0,0,1,0,0,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gist,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Gollum,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IssueComment,0,0,0,0,0,0,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Issues,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Member,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Public,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PullRequest,1,0,0,0,0,0,0,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PullRequestReviewComment,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Push,19,3,1,0,7,5,3,21,4,2,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Release,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Watch,2,0,0,0,0,0,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,QualityPROpened,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,QualityPRClosed,1,0,0,0,0,0,0,1,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ChenglongChen  Joined 2014-01-04 05:52:56+00:00 | 200 public repos | 14 non-forked repos | 506 forks (2.51741293532 per repo) | 705 stars (3.50746268657 per repo | 351 followers | 36 following",1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,CommitComment,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Create,0,0,11,3,1,1,6,2,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Delete,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fork,0,0,7,14,5,3,2,6,4,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gist,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Gollum,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IssueComment,2,0,6,0,2,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Issues,0,0,2,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Member,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Public,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PullRequest,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PullRequestReviewComment,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Push,0,0,15,1,3,6,30,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Release,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Watch,0,0,1,5,2,0,0,1,1,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,QualityPROpened,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,QualityPRClosed,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"wdullaer  Joined 2014-01-02 17:39:54+00:00 | 24 public repos | 11 non-forked repos | 476 forks (19.8333333333 per repo) | 1961 stars (81.7083333333 per repo | 79 followers | 2 following",1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,CommitComment,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Create,1,0,0,0,0,3,5,0,2,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Delete,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fork,2,0,0,1,1,0,0,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gist,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Gollum,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IssueComment,4,2,0,0,0,0,1,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Issues,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Member,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Public,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PullRequest,2,0,0,0,0,0,0,0,2,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PullRequestReviewComment,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Push,5,4,0,0,0,0,5,2,3,3,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Release,0,0,0,0,0,1,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Watch,5,0,0,1,0,0,1,1,2,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,QualityPROpened,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,QualityPRClosed,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,